iter	Passed	Remaining
0	3	3983
1	7	3964
2	11	3853
3	15	3835
4	19	3801
5	20	3393
6	24	3428
7	28	3524
8	32	3572
9	34	3430
10	38	3468
11	42	3494
12	46	3501
13	50	3523
14	51	3375
15	55	3436
16	61	3529
17	65	3561
18	66	3448
19	71	3488
20	76	3548
21	81	3611
22	85	3626
23	89	3646
24	93	3644
25	97	3642
26	101	3643
27	104	3636
28	108	3645
29	112	3639
30	116	3636
31	120	3631
32	123	3632
33	127	3626
34	131	3629
35	136	3651
36	140	3644
37	143	3644
38	147	3640
39	151	3637
40	155	3633
41	159	3629
42	161	3585
43	164	3581
44	168	3578
45	172	3574
46	176	3582
47	180	3576
48	184	3577
49	188	3572
50	189	3521
51	193	3521
52	197	3523
53	200	3519
54	204	3520
55	209	3524
56	213	3525
57	216	3522
58	220	3517
59	224	3519
60	228	3515
61	232	3519
62	236	3515
63	240	3519
64	244	3519
65	248	3512
66	252	3511
67	256	3509
68	259	3506
69	263	3502
70	267	3500
71	271	3499
72	275	3495
73	279	3492
74	282	3487
75	286	3486
76	290	3480
77	294	3476
78	298	3477
79	302	3474
80	306	3472
81	309	3467
82	314	3469
83	317	3466
84	321	3462
85	325	3461
86	329	3456
87	333	3457
88	337	3450
89	341	3449
90	345	3448
91	349	3448
92	353	3445
93	356	3440
94	361	3440
95	364	3435
96	368	3433
97	372	3430
98	376	3425
99	380	3424
100	384	3420
101	388	3419
102	392	3419
103	396	3416
104	400	3414
105	404	3408
106	408	3406
107	411	3401
108	415	3399
109	419	3395
110	423	3393
111	427	3390
112	431	3386
113	435	3385
114	439	3380
115	443	3378
116	447	3375
117	451	3376
118	456	3376
119	460	3373
120	463	3369
121	467	3366
122	471	3362
123	475	3359
124	479	3356
125	483	3352
126	487	3347
127	491	3345
128	494	3340
129	498	3336
130	502	3332
131	506	3329
132	510	3327
133	514	3323
134	518	3322
135	522	3316
136	525	3313
137	529	3310
138	533	3304
139	537	3303
140	541	3298
141	545	3294
142	548	3290
143	552	3286
144	556	3281
145	561	3282
146	565	3279
147	568	3274
148	572	3271
149	576	3266
150	580	3262
151	584	3258
152	587	3253
153	591	3248
154	595	3243
155	599	3241
156	602	3236
157	606	3233
158	610	3229
159	614	3225
160	618	3222
161	621	3217
162	626	3215
163	629	3210
164	633	3206
165	637	3202
166	641	3198
167	645	3194
168	648	3189
169	652	3187
170	656	3183
171	660	3181
172	664	3177
173	668	3175
174	673	3173
175	676	3169
176	681	3166
177	685	3163
178	688	3159
179	692	3155
180	696	3151
181	700	3148
182	704	3144
183	708	3141
184	711	3136
185	715	3132
186	719	3127
187	723	3123
188	727	3122
189	731	3118
190	735	3115
191	739	3110
192	743	3106
193	746	3102
194	750	3099
195	754	3095
196	758	3090
197	762	3087
198	766	3083
199	770	3080
200	774	3079
201	778	3075
202	782	3072
203	786	3067
204	790	3064
205	793	3060
206	797	3055
207	801	3051
208	805	3046
209	808	3043
210	812	3038
211	816	3035
212	820	3031
213	824	3027
214	827	3022
215	831	3017
216	835	3013
217	838	3008
218	842	3005
219	846	3000
220	850	2997
221	854	2993
222	858	2990
223	862	2986
224	866	2983
225	870	2979
226	873	2974
227	877	2971
228	881	2967
229	885	2964
230	889	2960
231	893	2957
232	896	2952
233	900	2948
234	904	2944
235	908	2940
236	912	2938
237	916	2934
238	920	2930
239	924	2926
240	927	2922
241	932	2919
242	935	2915
243	939	2911
244	943	2907
245	947	2902
246	950	2898
247	954	2894
